ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,TimeStamp,DERAIL
22.25,15.84,45.85015,-1.13,0.00,-0.00,-27.68,-10.77,-3.88,37.03,116.32,-115.42,1466606727.164626,0
22.25,15.84,45.85015,-1.13,0.00,-0.00,-27.68,-10.77,-3.88,37.03,116.32,-115.42,1466606727.344598,0
22.25,15.84,45.85015,-1.13,0.00,-0.00,-27.68,-10.77,-3.88,37.03,116.32,-115.42,1466606727.59463,0
22.25,15.84,45.85015,-1.13,0.00,-0.00,-27.68,-10.77,-3.88,37.03,116.32,-115.42,1466606727.864635,0
22.25,15.84,45.85015,-0.78,-0.01,-0.05,-92.75,-6.19,-0.54,32.98,62.81,-83.50,1466606727.944596,0
22.25,15.53,45.85015,-0.78,-0.01,-0.05,-92.75,-6.19,-0.54,32.98,62.81,-83.50,1466606728.474626,0
22.25,15.53,45.85015,-0.78,-0.01,-0.05,-92.75,-6.19,-0.54,32.98,62.81,-83.50,1466606728.534529,0
22.25,15.53,45.85015,-0.78,-0.01,-0.05,-92.75,-6.19,-0.54,32.98,62.81,-83.50,1466606728.634485,0
22.25,15.53,45.85015,-0.78,-0.01,-0.05,-92.75,-6.19,-0.54,32.98,62.81,-83.50,1466606728.804601,0
22.25,15.53,45.85015,-1.09,0.07,-0.11,-83.52,-16.11,-9.14,-4.35,81.70,-176.44,1466606728.975257,0
22.28,15.88,45.85015,-1.09,0.07,-0.11,-83.52,-16.11,-9.14,-4.35,81.70,-176.44,1466606729.134946,0
22.28,15.88,45.85015,-1.09,0.07,-0.11,-83.52,-16.11,-9.14,-4.35,81.70,-176.44,1466606729.397406,0
22.28,15.88,45.85015,-1.09,0.07,-0.11,-83.52,-16.11,-9.14,-4.35,81.70,-176.44,1466606729.537233,0
22.28,15.88,45.85015,-1.09,0.07,-0.11,-83.52,-16.11,-9.14,-4.35,81.70,-176.44,1466606729.807384,0
22.28,15.88,45.85015,-0.31,0.07,0.16,4.13,-15.04,-11.79,5.40,84.69,-105.23,1466606729.937157,0
22.25,15.75,45.85015,-0.31,0.07,0.16,4.13,-15.04,-11.79,5.40,84.69,-105.23,1466606730.137236,0
22.25,15.75,45.85015,-0.31,0.07,0.16,4.13,-15.04,-11.79,5.40,84.69,-105.23,1466606730.337237,0
22.25,15.75,45.85015,-0.31,0.07,0.16,4.13,-15.04,-11.79,5.40,84.69,-105.23,1466606730.630125,0
22.25,15.75,45.85015,-0.31,0.07,0.16,4.13,-15.04,-11.79,5.40,84.69,-105.23,1466606730.757354,0
22.25,15.75,45.85015,-0.33,-0.01,-0.02,-87.18,6.99,-5.91,25.03,131.61,-80.50,1466606731.037942,0
